"team","player_name","nfl_team","pos"
"Southern Bluegrass Fantasy Football Championship - Brian Harwood (@TheSBFFC) Cincinnati Reds Live","Tyler Warren","IND","TE"
"Julian Ferreira (@redhotdrummer87) Gotham Knights (Batman)","Christian McCaffrey","SFO","RB"
"Gregory Manley (@gamanley) Harlem Globetrotters (Harlem Globetrotters)","Brock Purdy","SFO","QB"
"Gregory Manley (@gamanley) Harlem Globetrotters (Harlem Globetrotters)","Christian McCaffrey","SFO","RB"
"Chad Hassey (@freak4fantasy) New England Patriots Live","Jonathan Taylor","IND","RB"
"Alex Ashoori Seattle Sounders FC","Christian McCaffrey","SF","RB"
"Rhett Taylor (@RDT_MD) Florida Panthers","Jauan Jennings","SF","WR"
"Rookie Big Board - Matt Hicks (@TheFF_Educator) Arrow McLaren","Jonathan Taylor","IND","RB"
"Rookie Big Board - Matt Hicks (@TheFF_Educator) Arrow McLaren","Tyler Warren","IND","TE"
"Rookie Big Board - Matt Hicks (@TheFF_Educator) Arrow McLaren","George Kittle","SF","TE"
"Nicholas Fox (@CT_FOX) Philadelphia Phillies Live","Jonathan Taylor","IND","RB"
"Kieran O Keeffe (@kie_kong_ok) Power Source","George Kittle","SF","TE"
"Kieran O Keeffe (@kie_kong_ok) Power Source","Brock Purdy","SF","QB"
"Drew Hohman (@drewhohman) Cleveland Browns Live","Jauan Jennings","SF","WR"
"Jay De Lanoy (@desfido) Cincinnati Bengals Live","Brock Purdy","SF","QB"
"Paul Winterhalter (@Pwindynasty) Springfield Isotopes (Simpsons)","George Kittle","SFO","TE"
"Ryan McQueen (@McQ315) Syracuse Orange","Jonathan Taylor","IND","RB"
"RPO Football/FantasyPros/Fantasy Six Pack - Mason Riney (@Caliking49er17) Sacramento Gold Miners Live","Christian McCaffrey","SF","RB"
"Tommy Moening (@dynastyffworld) Chip Ganassi Racing","Christian McCaffrey","SF","RB"
"George Trudell Bowling Green Falcons","Jonathan Taylor","IND","RB"
"David Rose (@drose523) Texas A&M Aggies","George Kittle","SF","TE"
"David Rose (@drose523) Texas A&M Aggies","Brock Purdy","SF","QB"
"Bobby Lawrence (@SuperFlexJunkie) Washington Sentinals (Replacements)","Christian McCaffrey","SFO","RB"
"Bobby Lawrence (@SuperFlexJunkie) Washington Sentinals (Replacements)","Tyler Warren","IND","TE"
"BucJordan (@LetsBuccingGo) UCF Knights","Jonathan Taylor","IND","RB"
"BucJordan (@LetsBuccingGo) UCF Knights","Michael Pittman","IND","WR"
"BucJordan (@LetsBuccingGo) UCF Knights","Brock Purdy","SF","QB"
"Chris De sousa (@DeWildcard21) Wake Forest Demon Deacons","Michael Pittman","IND","WR"
"Kasper Dreyer (@Mika_DynastyFF) Blue Mountain State Goats (Blue Mountain State)","Christian McCaffrey","SFO","RB"
"Rocco Cacciola (@Roccocatch) New York Jets Live","Jauan Jennings","SF","WR"
"Rocco Cacciola (@Roccocatch) New York Jets Live","Brock Purdy","SF","QB"
"Jose Borbolla (@FantasyLoko) Fulham","George Kittle","SF","TE"
"Jose Borbolla (@FantasyLoko) Fulham","Christian McCaffrey","SF","RB"
"Jose Borbolla (@FantasyLoko) Fulham","Brock Purdy","SF","QB"
"Logan Reinig Omaha Mavericks Live","Christian McCaffrey","SF","RB"
"Logan Reinig Omaha Mavericks Live","George Kittle","SF","TE"
"Ben Albert USC Trojans","Jonathan Taylor","IND","RB"
"Ben Albert USC Trojans","Christian McCaffrey","SF","RB"
"Dynasty Theory Fantasy Football Show - John Bauer (@TheBauerClub) Polk High School Panthers (Married with Children)","Philip Rivers","IND","QB"
"Dynasty Theory Fantasy Football Show - John Bauer (@TheBauerClub) Polk High School Panthers (Married with Children)","Jauan Jennings","SFO","WR"
"Optimus Fantasy Football - Jennifer Polvogt (@Jenpolvogt) Colorado Rockies Live","George Kittle","SF","TE"
"Optimus Fantasy Football - Jennifer Polvogt (@Jenpolvogt) Colorado Rockies Live","Brock Purdy","SF","QB"
"Cassidy Hudson Los Angeles Angels","Jonathan Taylor","IND","RB"
"Cassidy Hudson Los Angeles Angels","Michael Pittman","IND","WR"
"Daniel Staesser Inter Miami CF","Christian McCaffrey","SF","RB"
"Ryan Holbrook (@TexasTechsans) Houston Rockets Live","George Kittle","SF","TE"
"Ryan Holbrook (@TexasTechsans) Houston Rockets Live","Tyler Warren","IND","TE"
"Dave Kirk (@HavocNumber9) Vancouver Canadians Live","Christian McCaffrey","SF","RB"
"Dave Kirk (@HavocNumber9) Vancouver Canadians Live","Brock Purdy","SF","QB"
"Declan Cassidy (@deccycas) New Hampshire Fisher Cats","Michael Pittman","IND","WR"
