"team","player_name","nfl_team","pos"
"Bryan Hurley (@brhurley) Globo Gym Purple Cobras (Dodgeball)","Michael Pittman","IND","WR"
"Jordan Marschke (@JPMarschke) Minnesota Twins Live","Tyler Warren","IND","TE"
"Byron Watkins (@Byron_Watkins) Kansas City Current Live","Brock Purdy","SF","QB"
"Lee Abrahams (@LeeAbo10) Harchester United Live","George Kittle","SF","TE"
"Jake Binegar (@binnytron) Cincinnati Bengals Live","Christian McCaffrey","SF","RB"
"RotoViz - Devin McIntyre (@devinmci) New York Liberty","George Kittle","SF","TE"
"Dustin Morrison (@Caribooloo1) CF Montreal","Jauan Jennings","SF","WR"
"Dub Club - CJ Kaltenbach (@TheSeigeDFS) Las Vegas Athletics Live","Jonathan Taylor","IND","RB"
"Cody Wagner (@not_rileyj) Michigan State Spartans","Jauan Jennings","SF","WR"
"Richard Boehmer (@Richardboehmer1 ) FC Cincinnati Live","Christian McCaffrey","SF","RB"
"Richard Boehmer (@Richardboehmer1 ) FC Cincinnati Live","Jauan Jennings","SF","WR"
"Lindsay Kennedy (@Lin6) Calgary Flames","Brock Purdy","SF","QB"
"Average Joe''s Fantasy Football - Steven McCrory (@AvgJoes_ff) New England Revolution","Jonathan Taylor","IND","RB"
"Chris Ferchen (@FantasyFabio) Buffalo Bisons Live","Jonathan Taylor","IND","RB"
"Kevin Schwei (@kaschwei) Ottawa Senators","George Kittle","SF","TE"
"Paul Fitzsimmons Haas Factory Team","Tyler Warren","IND","TE"
"FTN - Tyler Loechner (@LoechnerNFL) South Park Cows (South Park)","George Kittle","SFO","TE"
"Scott Calka (@Scalka74 ) Colorado Rockies","Brock Purdy","SF","QB"
"Ryan Kennedy (@RyanKennedy_22) Pittsburgh Pirates Live","George Kittle","SF","TE"
"Dan Cummings Liverpool","Jonathan Taylor","IND","RB"
"Derek Likes Sports - Derek Thomas (@DerekAdamThomas) Washington Senators Live","Christian McCaffrey","SF","RB"
"Allen Holzheimer (@papaphoenix1977) Minnesota Aurora","Jonathan Taylor","IND","RB"
"Allen Holzheimer (@papaphoenix1977) Minnesota Aurora","Tyler Warren","IND","TE"
"Michael Clark (@KappaAmerica) Kansas City Monarchs Live","Jonathan Taylor","IND","RB"
"Michael Clark (@KappaAmerica) Kansas City Monarchs Live","Jauan Jennings","SF","WR"
"Matthew Shoener (@@MK_Shoener) Calgary Stampeders","Daniel Jones","IND","QB"
"Jose Dantas Oliveira Filho (@jdantasfilho) Angel City FC","Jonathan Taylor","IND","RB"
"Jose Dantas Oliveira Filho (@jdantasfilho) Angel City FC","Brock Purdy","SF","QB"
"Matthew Fenedick (@Lovemycowboys13) Team Penske","Michael Pittman","IND","WR"
"Michael Constanrlt (@Constantlycool) Boston Celtics","Michael Pittman","IND","WR"
"PFF - Nathan Jahnke Cincinnati Bearcats Live","Christian McCaffrey","SF","RB"
"Stephanie Vincent San Diego Wave FC","Brock Purdy","SF","QB"
"Adam Rosenbaum (@jetsfanR) Tune Squad (Space Jam)","Christian McCaffrey","SFO","RB"
"Eric Sokol (@esokes) McLaren","George Kittle","SF","TE"
"Bernie Wolin (@WOLIN BERNIE ) NY Racing Team","Jonathan Taylor","IND","RB"
"Fantasy Effect - Jonathan Hall (@Hallllerjono) Los Angeles Sparks","Tyler Warren","IND","TE"
"Jesse Reeves (@JesseReevesFF) Chelsea","Tyler Warren","IND","TE"
"DLF - Kev White (@TheDynastyMind) Liverpool","George Kittle","SF","TE"
"Elvin Ryan New Orleans Saints","Christian McCaffrey","SF","RB"
"Ryan Kirby (@Drk11) Houston Astros Live","Brock Purdy","SF","QB"
"Duane Lombard (@Lombard799 ) Newcastle","Jonathan Taylor","IND","RB"
"Christopher Ricci (@Christo14586164) Real Salt Lake","Jonathan Taylor","IND","RB"
"Ricky Rodriguez (@RickyRod1022) Miami Marlins","Jonathan Taylor","IND","RB"
"Dynasty junkies Podcast, Fantasy Narrative Podcast - Dustin Church (@Dynastyjunkieff) Seattle SuperSonics Live","Tyler Warren","IND","TE"
"Jed Becker (@Mustachio17) Madison Mallards Live","Brock Purdy","SF","QB"
"Steven Bean (@Beands1280) Memphis Grizzlies Live","Jonathan Taylor","IND","RB"
"Jaffna Hobbs (@Jaf2k3) Vancouver Canucks Live","Jonathan Taylor","IND","RB"
"Fantasy Football Happy Hour producer at NBC Sports - Peter Damilatis (@PeteDamilatis) New York City FC","Christian McCaffrey","SF","RB"
"Fantasy Football Happy Hour producer at NBC Sports - Peter Damilatis (@PeteDamilatis) New York City FC","Michael Pittman","IND","WR"
"Slash ValBentino (@-) Red Bull Racing","Tyler Warren","IND","TE"
"Todd Foster Vermont Lake Monsters Live","Tyler Warren","IND","TE"
"Dylan Tyler (@dstyle02) Cincinnati Cyclones Live","George Kittle","SF","TE"
"Brandon Deraney (@B_Deraney) Atlanta United FC Live","Christian McCaffrey","SF","RB"
"Brandon Deraney (@B_Deraney) Atlanta United FC Live","Jonathan Taylor","IND","RB"
"Brian Wright (@Bay9er) California Redwoods Live","Jonathan Taylor","IND","RB"
"Brian Wright (@Bay9er) California Redwoods Live","Brock Purdy","SF","QB"
"Diego Dorantes (@diegodm_mx) Club América Live","George Kittle","SF","TE"
"Diego Dorantes (@diegodm_mx) Club América Live","Tyler Warren","IND","TE"
"FantasyGameday.App - Ankit Vohra (@TheAnkitVohra) Aston Villa","Tyler Warren","IND","TE"
"John Gaskell (@JohnTGaskell) Norwich Sea Unicorns Live","Michael Pittman","IND","WR"
"Footballguys - Dan Hindery (@Hindery) Ohio State Buckeyes Live","Michael Pittman","IND","WR"
"Will Work For Food - Joe Babes (@JoeyNyerinFL) New York Mets Live","Jonathan Taylor","IND","RB"
"Alex Holva (@Alexholva) Philadelphia Eagles Live","Jonathan Taylor","IND","RB"
"Late-Round Fantasy Football - JJ Zachariason (@LateRoundQB) Pittsburgh Panthers","Christian McCaffrey","SF","RB"
"Late-Round Fantasy Football - JJ Zachariason (@LateRoundQB) Pittsburgh Panthers","Jauan Jennings","SF","WR"
"Anthony Reimer (@Mrmeseeksff ) Cincinnati Bengals","Brock Purdy","SF","QB"
"Jonathan Blodgett (@Phogforce5) Kansas City Chiefs","Christian McCaffrey","SF","RB"
"Jonathan Blodgett (@Phogforce5) Kansas City Chiefs","Brock Purdy","SF","QB"
"Bob McKee (@BestBallBob) Average Joe's (Dodgeball)","Jauan Jennings","SFO","WR"
"Aram Hauslaib (@AramsHaus) Las Vegas Aces Live","Jauan Jennings","SF","WR"
"William Donnelly (@Wbks13) Boise State Broncos","Brock Purdy","SF","QB"
"Wes Gautier (@Colhorsemen) Oklahoma State Cowboys","George Kittle","SFO","TE"
"Athletic - Brandon Funston (@BrandonFunston) Seattle Seahawks","Jonathan Taylor","IND","RB"
"Chris Abbott (@truechrisabbott) Chicago Fire Live","Christian McCaffrey","SF","RB"
"Chris Abbott (@truechrisabbott) Chicago Fire Live","George Kittle","SF","TE"
"Dwayne Brown (@DwayneB13) Letterkenny Shamrocks (Letterkenny)","Philip Rivers","IND","QB"
"Joao Perocco Neto (@jperocco) Brasil Onças Live","Jonathan Taylor","IND","RB"
"Patrick Engel Minnesota Frost","Jauan Jennings","SF","WR"
"Jeremy Evans (@Dadchairsports) Cincinnati Bearcats Live","Jauan Jennings","SF","WR"
"Jeremy Evans (@Dadchairsports) Cincinnati Bearcats Live","Michael Pittman","IND","WR"
"Jeff Bair (@FFB_Titan) Montreal Canadiens","Tyler Warren","IND","TE"
"FanDuel Research - Jim Sannes (@JimSannes) 23XI Racing","Brock Purdy","SF","QB"
"Leagues 1.01 - Scott Shute (@Skunkdrool) Chip Ganassi Racing","Jonathan Taylor","IND","RB"
